OBJECTID_1,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_34_1,Shape__Area,Shape__Length
1507,267113,RATHFARNHAM-BALLYROAN, ,DUBLIN,Baile Átha Cliath,Leinster,713080.179761634,728293.625075593,2AE196291E0013A3E055000000000001,03022,267113,Rathfarnham-Ballyroan,620407.350982666,3512.83357985168
1508,97058,KILCULLIHEEN,Cill Choilchín,KILKENNY,Cill Chainnigh,Leinster,661256.402235,613579.397263945,2AE19629240913A3E055000000000001,07106,97058,Kilculliheen (part),8634929.84085083,15572.7129692614
1509,107041,DONORE, ,LAOIS,Laois,Leinster,635261.670783566,689608.628417965,2AE1962916B813A3E055000000000001,08015,107041,Donore,22866210.1549683,24021.5773938714
1510,37138,RATHCLOONEY, ,CLARE,An Clár,Munster,542369.648330322,683400.403975908,2AE196291FFF13A3E055000000000001,16152,37138,Rathclooney,12041808.2200317,19941.2454234378
1511,107033,COLT, ,LAOIS,Laois,Leinster,644216.763625687,690731.236840725,2AE1962916C813A3E055000000000001,08010,107033,Colt,10182495.0906067,15710.5195206342
1512,147025,HAGGARDSTOWN,Baile Hagaird,LOUTH,Lú,Leinster,704065.561022614,803000.620265899,2AE1962918F913A3E055000000000001,10030,147025,Haggardstown,21364352.3655396,26416.3207510073
1513,67038,BOYOUNAGH, ,GALWAY,Gaillimh,Connacht,559790.749751228,764963.780741751,2AE1962920A713A3E055000000000001,27069,67038,Boyounagh,15814342.7173157,20505.4436806061
1514,247072,KILLOUGHRUM, ,WEXFORD,Loch Garman,Leinster,691017.531561485,641972.553528546,2AE196291E6613A3E055000000000001,14027,247072,Killoughrum,23179472.7779541,24496.6958619509
1515,137051,MULLANALAGHTA, ,LONGFORD,An Longfort,Leinster,631261.436577646,787995.283867322,2AE19629194013A3E055000000000001,09034,137051,Mullanalaghta,22845331.4477539,24245.9155262712
1516,127016,BALLYALLINAN,Baile Uí Áilíonáin,LIMERICK,Luimneach,Munster,536552.145623935,637809.864441801,2AE19629176013A3E055000000000001,21110,127016,Ballyallinan,22989790.2124329,21189.6844394829
1517,77065,DINGLE,An Daingean,KERRY,Ciarraí,Munster,444650.217505985,601227.132422056,2AE1962922D813A3E055000000000001,19033,77065,An Daingean,2065160.80223083,6440.30839481442
1518,48067,TOGHER B, ,CORK,Corcaigh,Munster,566535.223578157,570171.882597247,2AE1962921B113A3E055000000000001,17067,48067,Togher B,92361.9536437988,1456.48327469108
1519,157058,COOLNAHA, ,MAYO,Maigh Eo,Connacht,549792.151206466,785112.444602134,2AE19629196C13A3E055000000000001,29109,157058,Coolnaha,23220914.5080872,28175.8726009112
1520,67080,DERREW, ,GALWAY,Gaillimh,Connacht,582431.845580276,716717.894653348,2AE19629230213A3E055000000000001,27166,67080,Derrew,15039271.6960144,18949.2363386348
1521,77098,KILGOBBAN, ,KERRY,Ciarraí,Munster,469008.497492505,606939.051474272,2AE19629228513A3E055000000000001,19152,77098,Kilgobban,33070570.5756836,30632.8975993946
1522,167037,INNFIELD, ,MEATH,An Mhí,Leinster,676326.505023513,742840.804494611,2AE1962918B313A3E055000000000001,11081,167037,Innfield,34523606.9387817,25610.8980110564
1523,48064,TIVOLI A, ,CORK,Corcaigh,Munster,569898.492207902,572581.710493843,2AE1962921AE13A3E055000000000001,17064,48064,Tivoli A,949191.246032715,5131.71986843328
1524,57080,GOLAND, ,DONEGAL,Dún na nGall,Ulster,608169.574876452,888236.555480562,2AE19629208413A3E055000000000001,33140,57080,Goland,42637823.4669495,30408.9202799418
1525,77165,VALENCIA, ,KERRY,Ciarraí,Munster,437789.949010386,575501.812802584,2AE19629223913A3E055000000000001,19025,77165,Valencia,26259773.8907166,29024.3945184644
1526,137025,DOORY, ,LONGFORD,An Longfort,Leinster,616739.724779502,763563.64749272,2AE1962918EB13A3E055000000000001,09007,137025,Doory,25470444.4619141,25433.9353674924
1527,237039,DYSART, ,WESTMEATH,An Iarmhí,Leinster,636838.281845268,746914.467157222,2AE196291B8413A3E055000000000001,13068,237039,Dysart,18995168.8754272,20068.2754898597
